gene_id	DTB-999_Baseline
A1BG	0
A1CF	0
A2BP1	0
A2LD1	236.6878328
A2ML1	27.56975481
A2M	798.5175652
A4GALT	1.34391093
A4GNT	7.097449757
AAA1	0
AAAS	863.4646176
AACSL	0
AACS	353.9248184
AADACL2	0
AADACL3	0
AADACL4	0
AADAC	0
AADAT	87.78869638
AAGAB	459.0938132
AAK1	3901.104875
AAMP	797.2792096
AANAT	0
AARS2	177.5104972
AARSD1	380.4352
AARS	2089.028053
AASDHPPT	325.8139928
AASDH	257.7400498
AASS	0.02840715374
AATF	1906.02214
AATK	0.05554320303
ABAT	263.7720057
ABCA10	112.8633599
ABCA11P	311.8904312
ABCA12	272.1668881
ABCA13	3.084034153
ABCA17P	3.276778541
ABCA1	637.4350585
ABCA2	170.3127992
ABCA3	59.18442589
ABCA4	1.697529244
ABCA5	176.9043441
ABCA6	70.79276042
ABCA7	67.07964195
ABCA8	92.96353643
ABCA9	63.85509625
ABCB10	646.5743074
ABCB11	0
ABCB1	0.3564777502
ABCB4	2.140502136
ABCB5	0
ABCB6	528.154581
ABCB7	141.1706288
ABCB8	136.2458977
ABCB9	30.57356374
ABCC10	66.6880526
ABCC11	36.47693243
ABCC12	2.081968155
ABCC13	0
ABCC1	152.8433243
ABCC2	0.5675310858
ABCC3	7.219740217
ABCC4	50.11246832
ABCC5	734.3137765
ABCC6P1	0
ABCC6P2	0
ABCC6	1.51008218
ABCC8	22.66612874
ABCC9	76.75754663
ABCD1	366.5321195
ABCD2	0.3050009805
ABCD3	694.4988251
ABCD4	41.05515606
ABCE1	894.0623811
ABCF1	2532.31139
ABCF2	186.2756873
ABCF3	919.2655249
ABCG1	289.5655493
ABCG2	135.8755654
ABCG4	1.335898111
ABCG5	7.436867076
ABCG8	0
ABHD10	1132.514155
ABHD11	1166.507343
ABHD12B	50.54479856
ABHD12	3213.208891
ABHD13	17.83084114
ABHD14A	110.6562029
ABHD14B	1940.751038
ABHD15	115.6085303
ABHD1	105.7993077
ABHD2	2875.198199
ABHD3	235.5660753
ABHD4	701.7812831
ABHD5	135.2175879
ABHD6	173.7039159
ABHD8	6.039134694
ABI1	23.73128242
ABI2	2243.672151
ABI3BP	8.148817126
