gene_id	DTB-128_Baseline
A1BG	0
A1CF	0
A2BP1	0
A2LD1	85.9568277
A2ML1	3.444599267
A2M	7336.630831
A4GALT	66.73052592
A4GNT	2.143813434
AAA1	0
AAAS	780.4557861
AACSL	0
AACS	302.3444642
AADACL2	0
AADACL3	0
AADACL4	0
AADAC	0
AADAT	1778.396373
AAGAB	1884.131045
AAK1	1053.006959
AAMP	185.2796529
AANAT	0
AARS2	47.28495389
AARSD1	98.07231905
AARS	2030.137224
AASDHPPT	1015.385755
AASDH	678.6438674
AASS	521.4002077
AATF	2089.591418
AATK	1.206219276
ABAT	303.5209519
ABCA10	113.2080886
ABCA11P	378.9876133
ABCA12	2509.782052
ABCA13	66.19163756
ABCA17P	8.791766787
ABCA1	589.9853965
ABCA2	650.074242
ABCA3	804.9392417
ABCA4	1.374749441
ABCA5	580.1566865
ABCA6	216.1610274
ABCA7	49.15466998
ABCA8	314.0220826
ABCA9	230.1912193
ABCB10	1065.705538
ABCB11	0
ABCB1	2.217430682
ABCB4	7.331114975
ABCB5	0
ABCB6	1993.33811
ABCB7	346.831407
ABCB8	152.0235376
ABCB9	11.3160214
ABCC10	153.1939709
ABCC11	262.2981466
ABCC12	1.808872582
ABCC13	0
ABCC1	211.497084
ABCC2	0.7811799711
ABCC3	7.381011194
ABCC4	1769.497347
ABCC5	1741.685039
ABCC6P1	0
ABCC6P2	0
ABCC6	0.4655587456
ABCC8	44.15875906
ABCC9	384.7142193
ABCD1	41.61333569
ABCD2	0.07143882771
ABCD3	876.0588447
ABCD4	321.135053
ABCE1	3447.396304
ABCF1	210.5890349
ABCF2	1037.353779
ABCF3	347.6858392
ABCG1	460.9861305
ABCG2	248.0006971
ABCG4	2.330454308
ABCG5	50.2219569
ABCG8	0
ABHD10	1539.09112
ABHD11	499.750936
ABHD12B	27.27669411
ABHD12	3109.638441
ABHD13	113.8710486
ABHD14A	105.663244
ABHD14B	370.4532566
ABHD15	165.5641355
ABHD1	11.61115709
ABHD2	19536.03994
ABHD3	197.5102719
ABHD4	1313.090616
ABHD5	941.1142031
ABHD6	32.99078178
ABHD8	30.7498909
ABI1	2129.15182
ABI2	3322.841804
ABI3BP	73.80072714
