gene_id/transcript_id	DTB-156-Baseline	DTB-156-Progression	DTB-152-Baseline
?/uc011lsn.1	0.0000	0.0000	0.0000
?/uc010unu.1	42.7960	42.7960	42.7960
?/uc010uoa.1	42.7960	42.7960	42.7960
?/uc002bgz.2	29.9572	29.9572	29.9572
?/uc002bic.2	29.9572	29.9572	29.9572
A1CF/uc010qhn.1	0.0000	0.0000	0.0000
A1CF/uc010qho.1	0.0000	0.0000	0.0000
A2BP1/uc002cyr.1	0.0000	0.0000	0.0000
A2BP1/uc002cys.2	0.0000	0.0000	0.0000
A2BP1/uc002cyt.2	0.0000	0.0000	0.0000
A2BP1/uc002cyv.1	0.0000	0.0000	0.0000
A2BP1/uc002cyw.2	0.0000	0.0000	0.0000
A2BP1/uc002cyx.2	0.0000	0.0000	0.0000
A2BP1/uc002cyy.2	0.0000	0.0000	0.0000
A2BP1/uc010buf.1	0.0000	0.0000	0.0000
A2BP1/uc010uxz.1	0.0000	0.0000	0.0000
A2BP1/uc010uya.1	0.0000	0.0000	0.0000
A2BP1/uc010uyb.1	0.0000	0.0000	0.0000
A2BP1/uc010uyc.1	0.0000	0.0000	0.0000
A2LD1/uc001voq.1	1172.6106	432.6106	1172.124
A2LD1/uc001vor.2	0.0000	0.0000	0.0000
A2LD1/uc001vos.2	11.4123	11.321	32.4123
A2ML1/uc001quz.3	0.0000	0.0000	0.0000
A2ML1/uc001qva.1	2.8531	2.43225	52.8531
A2ML1/uc001qvb.1	0.0000	0.0000	0.0000
